confidence_id,participant_id,week_number,chapter_name,submitted_at,confidence_score,notes
1,1,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,4,
2,1,2,Food Safety,2026-04-26T08:22:07.850777+00:00,4,
3,1,3,Kitchen Sanitation,2026-04-26T08:22:07.850777+00:00,4,
4,1,4,Cooking Procedures,2026-04-26T08:22:07.850777+00:00,4,
5,1,5,Food Utilization,2026-04-26T08:22:07.850777+00:00,5,
6,1,6,Quantity Meal Preparation,2026-04-26T08:22:07.850777+00:00,4,
7,1,7,ServSafe Certification Prep,2026-04-26T08:22:07.850777+00:00,5,
8,1,8,Advanced Cooking Techniques,2026-04-26T08:22:07.850777+00:00,4,
9,1,9,Practical Kitchen Experience,2026-04-26T08:22:07.850777+00:00,5,
10,1,10,Job Readiness and Final Assessment,2026-04-26T08:22:07.850777+00:00,5,
11,2,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,3,
12,2,2,Food Safety,2026-04-26T08:22:07.850777+00:00,3,
13,2,3,Kitchen Sanitation,2026-04-26T08:22:07.850777+00:00,4,
14,2,4,Cooking Procedures,2026-04-26T08:22:07.850777+00:00,4,
15,2,5,Food Utilization,2026-04-26T08:22:07.850777+00:00,4,
16,2,6,Quantity Meal Preparation,2026-04-26T08:22:07.850777+00:00,4,
17,2,7,ServSafe Certification Prep,2026-04-26T08:22:07.850777+00:00,4,
18,2,8,Advanced Cooking Techniques,2026-04-26T08:22:07.850777+00:00,4,
19,2,9,Practical Kitchen Experience,2026-04-26T08:22:07.850777+00:00,5,
20,2,10,Job Readiness and Final Assessment,2026-04-26T08:22:07.850777+00:00,5,
21,3,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,5,
22,3,2,Food Safety,2026-04-26T08:22:07.850777+00:00,5,
23,3,3,Kitchen Sanitation,2026-04-26T08:22:07.850777+00:00,5,
24,3,4,Cooking Procedures,2026-04-26T08:22:07.850777+00:00,5,
25,3,5,Food Utilization,2026-04-26T08:22:07.850777+00:00,5,
26,3,6,Quantity Meal Preparation,2026-04-26T08:22:07.850777+00:00,5,
27,3,7,ServSafe Certification Prep,2026-04-26T08:22:07.850777+00:00,5,
28,3,8,Advanced Cooking Techniques,2026-04-26T08:22:07.850777+00:00,5,
29,3,9,Practical Kitchen Experience,2026-04-26T08:22:07.850777+00:00,5,
30,3,10,Job Readiness and Final Assessment,2026-04-26T08:22:07.850777+00:00,5,
31,4,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,4,
32,4,2,Food Safety,2026-04-26T08:22:07.850777+00:00,3,
33,4,3,Kitchen Sanitation,2026-04-26T08:22:07.850777+00:00,2,
34,4,4,Cooking Procedures,2026-04-26T08:22:07.850777+00:00,2,
35,4,5,Food Utilization,2026-04-26T08:22:07.850777+00:00,4,
36,4,6,Quantity Meal Preparation,2026-04-26T08:22:07.850777+00:00,4,
37,4,7,ServSafe Certification Prep,2026-04-26T08:22:07.850777+00:00,4,
38,4,8,Advanced Cooking Techniques,2026-04-26T08:22:07.850777+00:00,4,
39,4,9,Practical Kitchen Experience,2026-04-26T08:22:07.850777+00:00,4,
40,4,10,Job Readiness and Final Assessment,2026-04-26T08:22:07.850777+00:00,5,
41,5,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,3,
42,5,2,Food Safety,2026-04-26T08:22:07.850777+00:00,2,
43,5,3,Kitchen Sanitation,2026-04-26T08:22:07.850777+00:00,2,
44,5,4,Cooking Procedures,2026-04-26T08:22:07.850777+00:00,4,
45,5,5,Food Utilization,2026-04-26T08:22:07.850777+00:00,4,
46,5,6,Quantity Meal Preparation,2026-04-26T08:22:07.850777+00:00,4,
47,5,7,ServSafe Certification Prep,2026-04-26T08:22:07.850777+00:00,4,
48,5,8,Advanced Cooking Techniques,2026-04-26T08:22:07.850777+00:00,4,
49,5,9,Practical Kitchen Experience,2026-04-26T08:22:07.850777+00:00,5,
50,5,10,Job Readiness and Final Assessment,2026-04-26T08:22:07.850777+00:00,4,
51,6,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,4,
52,6,2,Food Safety,2026-04-26T08:22:07.850777+00:00,4,
53,6,3,Kitchen Sanitation,2026-04-26T08:22:07.850777+00:00,4,
54,6,4,Cooking Procedures,2026-04-26T08:22:07.850777+00:00,4,
55,6,5,Food Utilization,2026-04-26T08:22:07.850777+00:00,2,
56,6,6,Quantity Meal Preparation,2026-04-26T08:22:07.850777+00:00,4,
57,6,7,ServSafe Certification Prep,2026-04-26T08:22:07.850777+00:00,4,
58,6,8,Advanced Cooking Techniques,2026-04-26T08:22:07.850777+00:00,4,
59,6,9,Practical Kitchen Experience,2026-04-26T08:22:07.850777+00:00,4,
60,6,10,Job Readiness and Final Assessment,2026-04-26T08:22:07.850777+00:00,5,
61,7,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,3,
62,7,2,Food Safety,2026-04-26T08:22:07.850777+00:00,3,
63,7,3,Kitchen Sanitation,2026-04-26T08:22:07.850777+00:00,2,
64,7,4,Cooking Procedures,2026-04-26T08:22:07.850777+00:00,3,
65,7,5,Food Utilization,2026-04-26T08:22:07.850777+00:00,3,
66,7,6,Quantity Meal Preparation,2026-04-26T08:22:07.850777+00:00,3,
67,7,7,ServSafe Certification Prep,2026-04-26T08:22:07.850777+00:00,3,
68,7,8,Advanced Cooking Techniques,2026-04-26T08:22:07.850777+00:00,3,
69,7,9,Practical Kitchen Experience,2026-04-26T08:22:07.850777+00:00,4,
70,7,10,Job Readiness and Final Assessment,2026-04-26T08:22:07.850777+00:00,4,
71,8,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,3,
72,8,2,Food Safety,2026-04-26T08:22:07.850777+00:00,2,
73,8,3,Kitchen Sanitation,2026-04-26T08:22:07.850777+00:00,2,
74,8,4,Cooking Procedures,2026-04-26T08:22:07.850777+00:00,3,
75,8,5,Food Utilization,2026-04-26T08:22:07.850777+00:00,3,
76,8,6,Quantity Meal Preparation,2026-04-26T08:22:07.850777+00:00,3,
77,8,7,ServSafe Certification Prep,2026-04-26T08:22:07.850777+00:00,3,
78,8,8,Advanced Cooking Techniques,2026-04-26T08:22:07.850777+00:00,3,
79,8,9,Practical Kitchen Experience,2026-04-26T08:22:07.850777+00:00,3,
80,8,10,Job Readiness and Final Assessment,2026-04-26T08:22:07.850777+00:00,4,
81,9,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,3,
82,9,2,Food Safety,2026-04-26T08:22:07.850777+00:00,3,
83,9,3,Kitchen Sanitation,2026-04-26T08:22:07.850777+00:00,2,
84,9,4,Cooking Procedures,2026-04-26T08:22:07.850777+00:00,2,
85,9,5,Food Utilization,2026-04-26T08:22:07.850777+00:00,2,
86,10,1,Knife Skills,2026-04-26T08:22:07.850777+00:00,3,
87,10,2,Food Safety,2026-04-26T08:22:07.850777+00:00,2,
